#options: 640x480 fps=2997/100 timebase=100/2997 bitdepth=8 cabac=0 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=2 keyint=90 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1200 ratetol=1.0 qcomp=0.60 qpmin=10 qpmax=51 qpstep=4 ip_ratio=1.41 aq=1:1.00
in:34 out:34 type:P dur:2 cpbdur:2 q:29.98 aq:25.16 tex:31516 mv:3476 misc:1120 imb:18 pmb:518 smb:664 d:- ref:0 ;
in:35 out:35 type:P dur:2 cpbdur:2 q:29.83 aq:25.32 tex:26135 mv:3200 misc:1089 imb:25 pmb:486 smb:689 d:- ref:0 ;
in:36 out:36 type:P dur:2 cpbdur:2 q:29.73 aq:25.13 tex:28310 mv:3091 misc:1103 imb:16 pmb:497 smb:687 d:- ref:0 ;
in:37 out:37 type:P dur:2 cpbdur:2 q:29.62 aq:24.48 tex:29546 mv:3335 misc:1151 imb:16 pmb:537 smb:647 d:- ref:0 ;
in:38 out:38 type:P dur:2 cpbdur:2 q:29.54 aq:24.78 tex:28682 mv:3242 misc:1100 imb:17 pmb:508 smb:675 d:- ref:0 ;
in:39 out:39 type:P dur:2 cpbdur:2 q:29.46 aq:25.19 tex:27052 mv:3301 misc:1111 imb:14 pmb:531 smb:655 d:- ref:0 ;
in:40 out:40 type:P dur:2 cpbdur:2 q:29.43 aq:25.26 tex:25941 mv:3224 misc:1107 imb:14 pmb:498 smb:688 d:- ref:0 ;
in:41 out:41 type:P dur:2 cpbdur:2 q:29.34 aq:24.65 tex:26391 mv:2949 misc:1124 imb:14 pmb:511 smb:675 d:- ref:0 ;
in:42 out:42 type:P dur:2 cpbdur:2 q:29.28 aq:24.80 tex:29214 mv:3215 misc:1091 imb:18 pmb:519 smb:663 d:- ref:0 ;
in:43 out:43 type:P dur:2 cpbdur:2 q:29.23 aq:25.07 tex:27842 mv:3303 misc:1151 imb:18 pmb:533 smb:649 d:- ref:0 ;
in:44 out:44 type:P dur:2 cpbdur:2 q:29.17 aq:24.25 tex:40829 mv:3719 misc:1204 imb:19 pmb:665 smb:516 d:- ref:0 ;
in:45 out:45 type:P dur:2 cpbdur:2 q:29.09 aq:24.73 tex:23399 mv:2905 misc:1160 imb:15 pmb:499 smb:686 d:- ref:0 ;
in:46 out:46 type:P dur:2 cpbdur:2 q:29.01 aq:24.28 tex:35811 mv:3427 misc:1202 imb:27 pmb:599 smb:574 d:- ref:0 ;
in:47 out:47 type:P dur:2 cpbdur:2 q:28.93 aq:23.86 tex:31753 mv:3472 misc:1175 imb:24 pmb:578 smb:598 d:- ref:0 ;
in:48 out:48 type:P dur:2 cpbdur:2 q:28.88 aq:24.29 tex:21321 mv:2690 misc:1133 imb:13 pmb:472 smb:715 d:- ref:0 ;
in:49 out:49 type:P dur:2 cpbdur:2 q:28.82 aq:23.29 tex:46709 mv:3423 misc:1212 imb:23 pmb:681 smb:496 d:- ref:0 ;
in:50 out:50 type:P dur:2 cpbdur:2 q:28.86 aq:23.96 tex:22152 mv:2822 misc:1130 imb:28 pmb:456 smb:716 d:- ref:0 ;
in:51 out:51 type:P dur:2 cpbdur:2 q:28.77 aq:24.21 tex:32081 mv:2683 misc:1132 imb:15 pmb:541 smb:644 d:- ref:0 ;
in:52 out:52 type:P dur:2 cpbdur:2 q:28.77 aq:23.43 tex:18129 mv:2592 misc:1135 imb:22 pmb:442 smb:736 d:- ref:0 ;
in:53 out:53 type:P dur:2 cpbdur:2 q:28.74 aq:23.40 tex:43243 mv:3524 misc:1281 imb:20 pmb:706 smb:474 d:- ref:0 ;
in:54 out:54 type:P dur:2 cpbdur:2 q:28.63 aq:23.32 tex:23753 mv:2452 misc:1171 imb:17 pmb:480 smb:703 d:- ref:0 ;
in:55 out:55 type:P dur:2 cpbdur:2 q:28.70 aq:23.16 tex:28321 mv:2973 misc:1146 imb:11 pmb:569 smb:620 d:- ref:0 ;
in:56 out:56 type:P dur:2 cpbdur:2 q:28.60 aq:23.41 tex:30349 mv:2925 misc:1134 imb:15 pmb:541 smb:644 d:- ref:0 ;
in:57 out:57 type:P dur:2 cpbdur:2 q:28.57 aq:24.04 tex:22622 mv:2449 misc:1081 imb:11 pmb:457 smb:732 d:- ref:0 ;
in:58 out:58 type:P dur:2 cpbdur:2 q:28.44 aq:23.58 tex:30113 mv:3172 misc:1187 imb:21 pmb:572 smb:607 d:- ref:0 ;
in:59 out:59 type:P dur:2 cpbdur:2 q:28.49 aq:23.97 tex:23515 mv:2250 misc:1067 imb:2 pmb:458 smb:740 d:- ref:0 ;
in:60 out:60 type:P dur:2 cpbdur:2 q:28.41 aq:23.81 tex:22118 mv:2520 misc:1098 imb:8 pmb:462 smb:730 d:- ref:0 ;
in:61 out:61 type:P dur:2 cpbdur:2 q:28.36 aq:23.26 tex:31981 mv:3481 misc:1290 imb:26 pmb:651 smb:523 d:- ref:0 ;
in:62 out:62 type:P dur:2 cpbdur:2 q:28.32 aq:23.44 tex:18906 mv:1908 misc:1074 imb:6 pmb:400 smb:794 d:- ref:0 ;
in:63 out:63 type:P dur:2 cpbdur:2 q:28.23 aq:22.67 tex:30498 mv:2923 misc:1275 imb:15 pmb:609 smb:576 d:- ref:0 ;
in:64 out:64 type:P dur:2 cpbdur:2 q:28.19 aq:23.00 tex:22146 mv:2439 misc:1119 imb:6 pmb:477 smb:717 d:- ref:0 ;
in:65 out:65 type:P dur:2 cpbdur:2 q:28.11 aq:22.98 tex:25161 mv:2514 misc:1101 imb:7 pmb:498 smb:695 d:- ref:0 ;
in:66 out:66 type:P dur:2 cpbdur:2 q:28.02 aq:22.93 tex:20787 mv:2632 misc:1157 imb:13 pmb:480 smb:707 d:- ref:0 ;
in:67 out:67 type:P dur:2 cpbdur:2 q:28.00 aq:22.76 tex:27113 mv:2670 misc:1161 imb:10 pmb:528 smb:662 d:- ref:0 ;
in:68 out:68 type:P dur:2 cpbdur:2 q:27.89 aq:22.78 tex:25622 mv:2601 misc:1169 imb:7 pmb:521 smb:672 d:- ref:0 ;
in:69 out:69 type:P dur:2 cpbdur:2 q:27.85 aq:23.25 tex:16518 mv:2232 misc:1074 imb:6 pmb:406 smb:788 d:- ref:0 ;
in:70 out:70 type:P dur:2 cpbdur:2 q:27.77 aq:22.07 tex:80262 mv:4209 misc:1137 imb:163 pmb:433 smb:604 d:- ref:0 ;
in:71 out:71 type:P dur:2 cpbdur:2 q:27.70 aq:22.03 tex:14162 mv:1939 misc:987 imb:5 pmb:351 smb:844 d:- ref:0 ;
in:72 out:72 type:P dur:2 cpbdur:2 q:27.61 aq:22.31 tex:30158 mv:2791 misc:1123 imb:12 pmb:541 smb:647 d:- ref:0 ;
in:73 out:73 type:P dur:2 cpbdur:2 q:27.56 aq:22.32 tex:22436 mv:2315 misc:1073 imb:7 pmb:447 smb:746 d:- ref:0 ;
in:74 out:74 type:P dur:2 cpbdur:2 q:27.50 aq:22.20 tex:27594 mv:2530 misc:1196 imb:10 pmb:542 smb:648 d:- ref:0 ;
in:75 out:75 type:P dur:2 cpbdur:2 q:27.39 aq:22.22 tex:20144 mv:1999 misc:1105 imb:6 pmb:419 smb:775 d:- ref:0 ;
in:76 out:76 type:P dur:2 cpbdur:2 q:27.63 aq:21.98 tex:26316 mv:2841 misc:1171 imb:11 pmb:589 smb:600 d:- ref:0 ;
in:77 out:77 type:P dur:2 cpbdur:2 q:27.50 aq:22.39 tex:23441 mv:2563 misc:1148 imb:10 pmb:531 smb:659 d:- ref:0 ;
in:78 out:78 type:P dur:2 cpbdur:2 q:27.47 aq:22.42 tex:21054 mv:2336 misc:1138 imb:16 pmb:462 smb:722 d:- ref:0 ;
in:79 out:79 type:P dur:2 cpbdur:2 q:27.39 aq:21.84 tex:20516 mv:2513 misc:1163 imb:10 pmb:483 smb:707 d:- ref:0 ;
in:80 out:80 type:P dur:2 cpbdur:2 q:27.34 aq:21.36 tex:74100 mv:4511 misc:1301 imb:34 pmb:865 smb:301 d:- ref:0 ;
in:81 out:81 type:P dur:2 cpbdur:2 q:27.25 aq:21.78 tex:15632 mv:2153 misc:1111 imb:5 pmb:415 smb:780 d:- ref:0 ;
in:82 out:82 type:P dur:2 cpbdur:2 q:27.20 aq:21.47 tex:29000 mv:3310 misc:1234 imb:19 pmb:606 smb:575 d:- ref:0 ;
in:83 out:83 type:P dur:2 cpbdur:2 q:27.13 aq:21.42 tex:20790 mv:2523 misc:1167 imb:11 pmb:469 smb:720 d:- ref:0 ;
in:84 out:84 type:P dur:2 cpbdur:2 q:27.05 aq:21.40 tex:54239 mv:3681 misc:1304 imb:12 pmb:781 smb:407 d:- ref:0 ;
in:85 out:85 type:P dur:2 cpbdur:2 q:26.97 aq:21.22 tex:18455 mv:2077 misc:1084 imb:4 pmb:409 smb:787 d:- ref:0 ;
