#options: 960x540 fps=2997/100 cabac=0 ref=5 deblock=1:0:0 analyse=0x1:0x131 me=hex subme=7 psy_rd=1.0:0.0 mixed_ref=1 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 chroma_qp_offset=-2 threads=12 nr=0 decimate=1 mbaff=0 bframes=0 keyint=90 keyint_min=25 scenecut=40(pre) rc=abr bitrate=1200 ratetol=3.3 qcomp=0.50 qpmin=10 qpmax=51 qpstep=4 ip_ratio=1.41 aq=1:1.00
in:54 out:54 type:P q:21.34 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:2040 d:-;
in:55 out:55 type:P q:21.14 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:2040 d:-;
in:56 out:56 type:P q:20.95 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:2040 d:-;
in:57 out:57 type:P q:20.74 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:2040 d:-;
in:58 out:58 type:P q:20.54 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:2040 d:-;
in:59 out:59 type:P q:20.34 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:2040 d:-;
in:60 out:60 type:P q:16.18 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:61 out:61 type:P q:12.82 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:62 out:62 type:P q:15.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:63 out:63 type:P q:18.77 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:2040 d:-;
in:64 out:64 type:P q:19.96 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:2040 d:-;
in:65 out:65 type:P q:19.72 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:2040 d:-;
in:66 out:66 type:P q:19.49 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:2040 d:-;
in:67 out:67 type:P q:19.25 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:2040 d:-;
in:68 out:68 type:P q:19.01 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:2040 d:-;
in:69 out:69 type:P q:18.77 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:2040 d:-;
in:70 out:70 type:P q:18.53 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:2040 d:-;
in:71 out:71 type:P q:18.29 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
