24,0
24,1
52,0
52,1
29,0
29,1
53,0
53,1
38,0
38,1
30,0
30,1
50,0
50,1
13,0
13,1
34,0
34,1
49,0
49,1
45,0
45,1
18,0
18,1
15,0
15,1
20,0
20,1
36,0
36,1
31,0
31,1
46,0
46,1
39,0
39,1
43,0
43,1
32,0
32,1
27,0
27,1
25,0
25,1
21,0
21,1
12,0
12,1
56,0
56,1
45,0
45,1
55,0
55,1
58,0
58,1
59,0
59,1
61,0
61,1
63,0
63,1
62,0
62,1
66,0
66,1
65,0
65,1
67,0
67,1
70,0
70,1
72,0
72,1
73,0
73,1
75,0
75,1
77,0
77,1
79,0
79,1
80,0
80,1
82,0
82,1
84,0
84,1
85,0
85,1
87,0
87,1
89,0
89,1
90,0
90,1
92,0
92,1
93,0
93,1
94,0
94,1
98,0
98,1
99,0
99,1
100,0
100,1
60,0
60,1
69,0
69,1
102,0
102,1
103,0
103,1
106,0
106,1
108,0
108,1
109,0
109,1
111,0
111,1
113,0
113,1
115,0
115,1
114,0
114,1
118,0
118,1
122,0
122,1
125,0
125,1
126,0
126,1
130,0
130,1
131,0
131,1
133,0
133,1
134,0
134,1
137,0
137,1
136,0
136,1
139,0
139,1
138,0
138,1
143,0
143,1
142,0
142,1
145,0
145,1
148,0
148,1
149,0
149,1
145,0
145,1
151,0
151,1
153,0
153,1
155,0
155,1
156,0
156,1
154,0
154,1
158,0
158,1
160,0
160,1
162,0
162,1
163,0
163,1
164,0
164,1
165,0
165,1
166,0
166,1
168,0
168,1
167,0
167,1
170,0
170,1
171,0
171,1
172,0
172,1
174,0
174,1
176,0
176,1
178,0
178,1
180,0
180,1
181,0
181,1
182,0
182,1
185,0
185,1
186,0
186,1
190,0
190,1
189,0
189,1
192,0
192,1
193,0
193,1
195,0
195,1
178,0
178,1
195,0
195,1
131614,0
131614,1
131616,0
131616,1
131617,0
131617,1
131618,0
131618,1
131622,0
131622,1
131624,0
131624,1
131628,0
131628,1
131627,0
131627,1
131632,0
131632,1
131633,0
131633,1
131635,0
131635,1
131642,0
131642,1
131643,0
131643,1
131645,0
131645,1
131650,0
131650,1
131651,0
131651,1
131655,0
131655,1
131656,0
131656,1
131657,0
131657,1
131658,0
131658,1
131660,0
131660,1
131665,0
131665,1
131666,0
131666,1
131669,0
131669,1
131673,0
131673,1
131674,0
131674,1
131677,0
131677,1
131679,0
131679,1
131681,0
131681,1
131683,0
131683,1
131660,0
131660,1
131686,0
131686,1
131690,0
131690,1
131688,0
131688,1
131691,0
131691,1
131694,0
131694,1
131695,0
131695,1
131698,0
131698,1
131700,0
131700,1
131703,0
131703,1
131705,0
131705,1
131704,0
131704,1
131707,0
131707,1
131708,0
131708,1
131710,0
131710,1
131711,0
131711,1
131712,0
131712,1
131713,0
131713,1
131719,0
131719,1
131722,0
131722,1
131725,0
131725,1
131726,0
131726,1
131729,0
131729,1
131734,0
131734,1
131735,0
131735,1
131736,0
131736,1
131740,0
131740,1
131744,0
131744,1
131741,0
131741,1
131747,0
131747,1
131750,0
131750,1
131751,0
131751,1
131752,0
131752,1
131755,0
131755,1
131757,0
131757,1
131761,0
131761,1
131762,0
131762,1
131739,0
131739,1
131770,0
131770,1
131771,0
131771,1
131773,0
131773,1
131776,0
131776,1
131777,0
131777,1
131782,0
131782,1
131785,0
131785,1
131787,0
