2,20120827,140000,live,
3,20120827,170000,mms://61.67.123.85/test_hhh,
2,20120827,170000,http://192.168.0.234:8383,
2,20120827,170000,http://192.168.0.234:8282,
2,20120827,170000,http://192.168.0.234:8282,
2,20120827,170000,http://192.168.0.234:8282,
2,20120827,170000,http://192.168.0.234:8282,
2,20120827,170000,http://192.168.0.234:8282,
2,20120827,170000,http://192.168.0.234:8383,
2,20120827,170000,http://192.168.0.234:8383,
3,20120827,180000,live,
4,20120827,190000,http://192.168.0.234:8383,
5,20120827,200000,live,
6,20120827,220000,http://192.168.0.234:8383,
7,20120828,010000,live,
8,20120828,040000,live,
2,20120828,040000,http://192.168.0.234:8383,
3,20120828,060000,live,
4,20120828,090000,live,
2,20120828,090000,live,
2,20120828,090000,live,
2,20120828,090000,live,
2,20120828,093000,http://192.168.0.234:8383,
2,20120828,093000,http://192.168.0.234:8383,
2,20120828,093000,http://192.168.0.234:8383,
3,20120828,103000,live,
4,20120828,110000,http://192.168.0.234:8383,
2,20120828,110000,http://192.168.0.234:8383,
2,20120828,110000,http://192.168.0.234:8383,
2,20120828,110000,udp://@127.0.0.1:1238,
2,20120828,110000,udp://@127.0.0.1:1238,
3,20120828,120000,live,
2,20120828,120000,live,
2,20120828,120000,live,
3,20120828,130000,udp://@127.0.0.1:1238,
2,20120828,130000,http://192.168.0.234:8383,
2,20120828,130000,http://192.168.0.234:8383,
2,20120828,130000,http://192.168.0.234:8383,
3,20120828,140000,live,
2,20120828,140000,live,
2,20120828,140000,live,
3,20120828,170000,http://192.168.0.234:8383,
4,20120828,180000,live,
5,20120828,190000,http://192.168.0.234:8383,
6,20120828,200000,live,
7,20120828,220000,http://192.168.0.234:8383,
8,20120829,010000,live,
2,20120829,010000,live,
3,20120829,040000,live,
2,20120829,040000,http://192.168.0.234:8383,
2,20120829,040000,http://192.168.0.234:8383,
2,20120829,040000,http://192.168.0.234:8383,
3,20120829,043000,live,
4,20120829,050000,http://192.168.0.234:8383,
5,20120829,053000,live,
6,20120829,060000,http://192.168.0.234:8383,
7,20120829,063000,live,
8,20120829,070000,http://192.168.0.234:8383,
9,20120829,073000,live,
